stock_id,model_name,mse,qlike,r^2
97,WLS,6.122772947420869e-07,0.1494608957541207,0.4186027126710582
7,WLS,1.354509470450732e-07,0.1233488491486827,0.4825003340502941
55,WLS,2.874506391986609e-07,0.1328785096795971,0.4277194469304788
96,WLS,1.0982846396371413e-07,0.0838728689109275,0.5637108880574434
80,WLS,6.963002923917327e-07,0.1220138745293696,0.5109343239678328
81,WLS,3.8139555501933833e-07,0.1849500177728185,0.5315037532805962
85,WLS,1.283776215452913e-07,0.4038978892761092,0.6269782158817703
52,WLS,9.895743198757365e-08,0.078462019652948,0.6735162008062445
1,WLS,1.716465608591794e-07,0.0941926606523125,0.5222129021384736
84,WLS,8.666038844550403e-08,0.0663345213198696,0.6320905507768739
86,WLS,1.2555835491351297e-07,0.8022032924014157,0.5822504614774147
44,WLS,1.1212199992172069e-07,0.3356559554820592,0.621168381843265
50,WLS,5.623505070084463e-08,0.0589040081969198,0.6648492438612619
22,WLS,2.315918854732988e-07,0.1150402193187821,0.472661924939313
109,WLS,1.2314194934482317e-07,0.0733190842898121,0.6477408720146876
120,WLS,7.304136942052217e-08,0.1372640561013625,0.6217126845974195
27,WLS,7.414379472701791e-07,0.1845818281668902,0.4661036653596914
102,WLS,2.205679717501837e-07,73740.40477995327,0.4142600053313995
115,WLS,1.763967355686503e-07,0.1005330922808751,0.4794494420941161
101,WLS,1.1966159730676584e-07,0.0736010738340462,0.5724608887702608
75,WLS,8.00208521156399e-07,0.1802729370181025,0.4052471079822501
89,WLS,2.63033237932447e-07,1.0591466761932868,0.5476385041840672
76,WLS,1.1061330408191333e-07,0.0738843666581238,0.645976702061047
63,WLS,1.3407294106848093e-07,0.3715748665743551,0.5718116730770394
73,WLS,1.0418129658319134e-07,0.1034079977670915,0.5658053345545819
97,Transformer,5.251959346078121e-07,0.1222858002126713,0.4910021584391076
7,Transformer,1.226232688141921e-07,0.1067339126215021,0.5195357320312706
55,Transformer,2.566556158453255e-07,0.1166696227664687,0.4874303998983148
96,Transformer,9.212320214857176e-08,0.072771532843448,0.6285048079928284
80,Transformer,6.102815011426604e-07,0.0981908442523913,0.562719309740211
5,Transformer,2.3780985507933002e-07,0.1606574525205019,0.4703216253188427
81,Transformer,3.089706214671817e-07,0.1302873477751944,0.6151199670020774
85,Transformer,1.0843801408013381e-07,0.233966144952874,0.6835313553116676
52,Transformer,8.442222108705579e-08,0.068244602587853,0.7152728700600397
1,Transformer,0.0005567336514872,0.0947168649226701,0.5548307160613499
84,Transformer,7.415579296339127e-08,0.0578816481594388,0.6809439666118067
86,Transformer,1.437527215835503e-07,0.4275771801275713,0.5257187875657645
78,Transformer,2.232170167092502e-07,0.1125037131932299,0.5357686548012186
44,Transformer,7.862919295779573e-08,0.1866758863401432,0.7284796972859362
50,Transformer,4.709024293129519e-08,0.0508325884151342,0.7132103794152331
22,Transformer,2.0572148218575368e-07,0.1012307317860082,0.5002840749441213
109,Transformer,1.0619429424629256e-07,0.0630324605242469,0.6871095356910928
120,Transformer,5.7035660430134825e-08,0.091697218096088,0.6923050634604321
32,Transformer,1.0339566241959945e-07,1.5349987435173935,0.6284631040582489
27,Transformer,6.328738746141243e-07,0.165223825683294,0.5282451699943058
102,Transformer,1.826960257662691e-07,0.1178233060539015,0.5102286015885926
115,Transformer,1.3303930523708193e-07,0.0806048278084252,0.5610726382296468
101,Transformer,1.0273626842525316e-07,0.065383918401947,0.6246138659097875
75,Transformer,7.111110298561722e-07,0.1774843563800404,0.4518129597506117
89,Transformer,2.285718468355024e-07,0.5858135014285493,0.5948702967151844
76,Transformer,9.38916338007023e-08,0.0632760958074453,0.6937129226476322
63,Transformer,1.1565381004108337e-07,0.2180974121485429,0.6183686875437164
73,Transformer,8.405457690988442e-08,0.0863553953184414,0.6450318103311126
8,Transformer,1.8895182769109033e-07,0.0908182041556328,0.6416974343432529
59,Transformer,1.2624292014535993e-07,0.0891034474994549,0.6100214917826579
97,RandomForest,5.366710429750293e-07,0.1249084709024732,0.4879846286062627
7,RandomForest,1.3143336767630524e-07,0.1101708141180979,0.5003327042555743
55,RandomForest,2.6345613788112525e-07,0.1215049541752481,0.4759590760951266
96,RandomForest,9.75993126701215e-08,0.0770181949439399,0.6128403269963042
80,RandomForest,6.026666701708733e-07,0.0981040683285571,0.5735963316002517
5,RandomForest,2.386511270712949e-07,0.1589942590669888,0.4673461366109641
81,RandomForest,3.2010693916879364e-07,0.1305279324187759,0.6069739184783065
85,RandomForest,1.1163250549403845e-07,0.2314963256042259,0.6759279156854281
52,RandomForest,8.58104491701276e-08,0.0641337667744284,0.7166888508687252
1,RandomForest,1.5162066803897317e-07,0.0844854679396439,0.5742473511933822
84,RandomForest,7.772726501733274e-08,0.0593490860270969,0.672176268395462
86,RandomForest,1.378021326809328e-07,0.4219102928514046,0.5397613800606526
78,RandomForest,2.39908689918813e-07,0.1179189072886017,0.5183786724794441
44,RandomForest,8.358802666420653e-08,0.1896288195375879,0.7168697402035662
50,RandomForest,4.9413832922321214e-08,0.0524837956948548,0.7048065656364513
22,RandomForest,2.1258085780292e-07,0.105373569449911,0.5156493836586029
109,RandomForest,1.105133271766047e-07,0.0667938204130355,0.6843160729561896
120,RandomForest,6.019262984254786e-08,0.0921378551879694,0.6881367428669138
32,RandomForest,9.443311846871905e-08,1.5223795167580711,0.6661827455212594
27,RandomForest,6.725771836956656e-07,0.1719687794671121,0.514372691968064
102,RandomForest,1.805322803452801e-07,0.1080119318585714,0.5216196048042212
115,RandomForest,1.4342184088970398e-07,0.080639995628648,0.5784843194304476
101,RandomForest,1.055411243947072e-07,0.0668124895160139,0.6227964686406585
75,RandomForest,7.241164088201976e-07,0.1672235048938857,0.4631102496176286
89,RandomForest,2.258052610885139e-07,0.5804472234313354,0.6126952461569422
76,RandomForest,9.86718933356213e-08,0.0672239579813062,0.6833735368715579
63,RandomForest,1.1804880029923729e-07,0.2173728047083399,0.6300810910105702
73,RandomForest,9.316507475289528e-08,0.0933855734321155,0.6117915711169013
8,RandomForest,1.8996175587498506e-07,0.095915952284926,0.6449349450499551
59,RandomForest,1.2829357896776357e-07,0.0919735593992212,0.6145435974544009
